========================================
  Benchmark istogramma OpenMP
  Fri May 29 15:15:10 CEST 2026
========================================

--- v1: main.c  [bin][tid] ---
=== main.c: layout [bin][tid] ===
len           threads  T.tot         T.par         T.red         speedup     efficiency
50000000      8        0.014899      0.014899      0.000000      2.748     x  0.3434
50000000      16       0.011855      0.011855      0.000000      3.453     x  0.2158
50000000      32       0.007928      0.007928      0.000000      5.163     x  0.1613
50000000      64       0.007658      0.007658      0.000000      5.345     x  0.0835
50000000      128      0.008599      0.008599      0.000000      4.760     x  0.0372
50000000      256      0.010552      0.010552      0.000000      3.879     x  0.0152
50000000      512      0.012373      0.012373      0.000000      3.308     x  0.0065
50000000      1024     0.014973      0.014972      0.000000      2.734     x  0.0027
50000000      2048     0.025726      0.025726      0.000000      1.591     x  0.0008
50000000      4096     0.046481      0.046481      0.000000      0.881     x  0.0002

100000000     1        0.042613      0.042613      0.000000      1.000     x  1.0000
100000000     2        0.037376      0.037375      0.000000      1.140     x  0.5701
100000000     4        0.021995      0.021994      0.000000      1.937     x  0.4844
100000000     8        0.113312      0.113312      0.000001      0.376     x  0.0470
100000000     16       0.010962      0.010962      0.000000      3.887     x  0.2430
100000000     32       0.013176      0.013176      0.000000      3.234     x  0.1011
100000000     64       0.011531      0.011531      0.000000      3.696     x  0.0577
100000000     128      0.011991      0.011990      0.000000      3.554     x  0.0278
100000000     256      0.014226      0.014226      0.000000      2.995     x  0.0117
100000000     512      0.015761      0.015760      0.000000      2.704     x  0.0053
100000000     1024     0.021858      0.021858      0.000000      1.950     x  0.0019
100000000     2048     0.028110      0.028110      0.000000      1.516     x  0.0007
100000000     4096     0.055072      0.055071      0.000000      0.774     x  0.0002

500000000     1        0.225985      0.225985      0.000000      1.000     x  1.0000
500000000     2        0.151499      0.151499      0.000000      1.492     x  0.7458
500000000     4        0.084247      0.084246      0.000000      2.682     x  0.6706
500000000     8        0.066867      0.066867      0.000000      3.380     x  0.4225
500000000     16       0.067491      0.067490      0.000000      3.348     x  0.2093
500000000     32       0.065430      0.065429      0.000000      3.454     x  0.1079
500000000     64       0.058259      0.058259      0.000000      3.879     x  0.0606
500000000     128      0.061688      0.061688      0.000000      3.663     x  0.0286
500000000     256      0.063335      0.063334      0.000000      3.568     x  0.0139
500000000     512      0.067788      0.067788      0.000000      3.334     x  0.0065
500000000     1024     0.075895      0.075895      0.000000      2.978     x  0.0029
500000000     2048     0.083107      0.083106      0.000000      2.719     x  0.0013
500000000     4096     0.108194      0.108194      0.000000      2.089     x  0.0005


